Fname,Lname,M_init,EmpID,Gender,EmployedSince,Position,Salary,Phone,Email,SuperID
Jack,Terring,B,1,M,1980-01-01 06:06:06,Founder,50000,123456789,JTerring@yahoo.com,1
Clark,Kent,B,3,M,1983-06-01 08:00:00,Webmaster,42903,362936492,superman@yahoo.com,1
Phil,Landers,R,38,M,1991-10-30 09:00:00,chief of staff,44085,392640263,greatphilanderer@yahoo.com,3
Humpty,Dumpty,A,50,M,1997-08-17 00:00:00,Sitting on Wall,40000,187987002,allthekingshorses@gmail.com,38
Pinnocio,Geppetto,N,17,M,1983-04-11 04:30:02,Storage Manager,38873,394649640,nosegrows@aol.com,1
Victor,Frankenstein,M,8,M,1983-02-18 11:46:20,Finances,46000,027493947,itsalive@gmail.com,1
Allie,Vere,D,135,F,2005-12-12 09:00:00,mystery category overseer,35337,70154859,aliveagainmaybe@aol.com,3
Conner,King,M,318,M,2010-10-20 09:00:00,figure cleaner,36691,75009808,supremebeing@ruler.net,8
Buzz,Lightyear,T,999,M,2018-07-05 09:00:00,sci-fi category overseer,39022,55845200,toinfinityandunder@toys.net,8
Suzanna,Carson,F,204,F,1986-08-05 09:00:00,delivery,41780,392640263,Suzciesworld@gmail.com,3
